,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,892,3,male,34.5,0,0,7.8292,Q
1,893,3,female,47.0,1,0,7.0,S
2,894,2,male,62.0,0,0,9.6875,Q
3,895,3,male,27.0,0,0,8.6625,S
4,896,3,female,22.0,1,1,12.2875,S
5,897,3,male,14.0,0,0,9.225,S
6,898,3,female,30.0,0,0,7.6292,Q
7,899,2,male,26.0,1,1,29.0,S
8,900,3,female,18.0,0,0,7.2292,C
9,901,3,male,21.0,2,0,24.15,S
10,902,3,male,27.0,0,0,7.8958,S
11,903,1,male,46.0,0,0,26.0,S
12,904,1,female,23.0,1,0,82.2667,S
13,905,2,male,63.0,1,0,26.0,S
14,906,1,female,47.0,1,0,61.175,S
15,907,2,female,24.0,1,0,27.7208,C
16,908,2,male,35.0,0,0,12.35,Q
17,909,3,male,21.0,0,0,7.225,C
18,910,3,female,27.0,1,0,7.925,S
19,911,3,female,45.0,0,0,7.225,C
20,912,1,male,55.0,1,0,59.4,C
21,913,3,male,9.0,0,1,3.1708,S
22,914,1,female,27.0,0,0,31.6833,S
23,915,1,male,21.0,0,1,61.3792,C
24,916,1,female,48.0,1,3,262.375,C
25,917,3,male,50.0,1,0,14.5,S
26,918,1,female,22.0,0,1,61.9792,C
27,919,3,male,22.5,0,0,7.225,C
28,920,1,male,41.0,0,0,30.5,S
29,921,3,male,27.0,2,0,21.6792,C
30,922,2,male,50.0,1,0,26.0,S
31,923,2,male,24.0,2,0,31.5,S
32,924,3,female,33.0,1,2,20.575,S
33,925,3,female,27.0,1,2,23.45,S
34,926,1,male,30.0,1,0,57.75,C
35,927,3,male,18.5,0,0,7.2292,C
36,928,3,female,27.0,0,0,8.05,S
37,929,3,female,21.0,0,0,8.6625,S
38,930,3,male,25.0,0,0,9.5,S
39,931,3,male,27.0,0,0,56.4958,S
40,932,3,male,39.0,0,1,13.4167,C
41,933,1,male,27.0,0,0,26.55,S
42,934,3,male,41.0,0,0,7.85,S
