,PassengerId,Pclass,Age,SibSp,Parch,Fare,MaleCheck,Embarked_C,Embarked_Q,Embarked_S
0,892,3,34.5,0,0,7.8292,1,0,1,0
1,893,3,47.0,1,0,7.0,0,0,0,1
2,894,2,62.0,0,0,9.6875,1,0,1,0
3,895,3,27.0,0,0,8.6625,1,0,0,1
4,896,3,22.0,1,1,12.2875,0,0,0,1
5,897,3,14.0,0,0,9.225,1,0,0,1
6,898,3,30.0,0,0,7.6292,0,0,1,0
7,899,2,26.0,1,1,29.0,1,0,0,1
8,900,3,18.0,0,0,7.2292,0,1,0,0
9,901,3,21.0,2,0,24.15,1,0,0,1
10,902,3,27.0,0,0,7.8958,1,0,0,1
11,903,1,46.0,0,0,26.0,1,0,0,1
12,904,1,23.0,1,0,82.2667,0,0,0,1
13,905,2,63.0,1,0,26.0,1,0,0,1
14,906,1,47.0,1,0,61.175,0,0,0,1
15,907,2,24.0,1,0,27.7208,0,1,0,0
16,908,2,35.0,0,0,12.35,1,0,1,0
17,909,3,21.0,0,0,7.225,1,1,0,0
18,910,3,27.0,1,0,7.925,0,0,0,1
19,911,3,45.0,0,0,7.225,0,1,0,0
20,912,1,55.0,1,0,59.4,1,1,0,0
21,913,3,9.0,0,1,3.1708,1,0,0,1
22,914,1,27.0,0,0,31.6833,0,0,0,1
23,915,1,21.0,0,1,61.3792,1,1,0,0
24,916,1,48.0,1,3,262.375,0,1,0,0
25,917,3,50.0,1,0,14.5,1,0,0,1
26,918,1,22.0,0,1,61.9792,0,1,0,0
27,919,3,22.5,0,0,7.225,1,1,0,0
28,920,1,41.0,0,0,30.5,1,0,0,1
29,921,3,27.0,2,0,21.6792,1,1,0,0
30,922,2,50.0,1,0,26.0,1,0,0,1
31,923,2,24.0,2,0,31.5,1,0,0,1
32,924,3,33.0,1,2,20.575,0,0,0,1
33,925,3,27.0,1,2,23.45,0,0,0,1
34,926,1,30.0,1,0,57.75,1,1,0,0
35,927,3,18.5,0,0,7.2292,1,1,0,0
36,928,3,27.0,0,0,8.05,0,0,0,1
37,929,3,21.0,0,0,8.6625,0,0,0,1
38,930,3,25.0,0,0,9.5,1,0,0,1
39,931,3,27.0,0,0,56.4958,1,0,0,1
40,932,3,39.0,0,1,13.4167,1,1,0,0
41,933,1,27.0,0,0,26.55,1,0,0,1
42,934,3,41.0,0,0,7.85,1,0,0,1
43,935,2,30.0,0,0,13.0,0,0,0,1
44,936,1,45.0,1,0,52.5542,0,0,0,1
45,937,3,25.0,0,0,7.925,1,0,0,1
46,938,1,45.0,0,0,29.7,1,1,0,0
47,939,3,27.0,0,0,7.75,1,0,1,0
48,940,1,60.0,0,0,76.2917,0,1,0,0
49,941,3,36.0,0,2,15.9,0,0,0,1
50,942,1,24.0,1,0,60.0,1,0,0,1
51,943,2,27.0,0,0,15.0333,1,1,0,0
52,944,2,20.0,2,1,23.0,0,0,0,1
53,945,1,28.0,3,2,263.0,0,0,0,1
54,946,2,27.0,0,0,15.5792,1,1,0,0
55,947,3,10.0,4,1,29.125,1,0,1,0
56,948,3,35.0,0,0,7.8958,1,0,0,1
57,949,3,25.0,0,0,7.65,1,0,0,1
58,950,3,27.0,1,0,16.1,1,0,0,1
59,951,1,36.0,0,0,262.375,0,1,0,0
60,952,3,17.0,0,0,7.8958,1,0,0,1
61,953,2,32.0,0,0,13.5,1,0,0,1
62,954,3,18.0,0,0,7.75,1,0,0,1
63,955,3,22.0,0,0,7.725,0,0,1,0
64,956,1,13.0,2,2,262.375,1,1,0,0
65,957,2,27.0,0,0,21.0,0,0,0,1
66,958,3,18.0,0,0,7.8792,0,0,1,0
67,959,1,47.0,0,0,42.4,1,0,0,1
68,960,1,31.0,0,0,28.5375,1,1,0,0
69,961,1,60.0,1,4,263.0,0,0,0,1
70,962,3,24.0,0,0,7.75,0,0,1,0
71,963,3,21.0,0,0,7.8958,1,0,0,1
72,964,3,29.0,0,0,7.925,0,0,0,1
73,965,1,28.5,0,0,27.7208,1,1,0,0
74,966,1,35.0,0,0,211.5,0,1,0,0
75,967,1,32.5,0,0,211.5,1,1,0,0
76,968,3,27.0,0,0,8.05,1,0,0,1
77,969,1,55.0,2,0,25.7,0,0,0,1
78,970,2,30.0,0,0,13.0,1,0,0,1
79,971,3,24.0,0,0,7.75,0,0,1,0
80,972,3,6.0,1,1,15.2458,1,1,0,0
81,973,1,67.0,1,0,221.7792,1,0,0,1
82,974,1,49.0,0,0,26.0,1,0,0,1
83,975,3,27.0,0,0,7.8958,1,0,0,1
84,976,2,27.0,0,0,10.7083,1,0,1,0
85,977,3,27.0,1,0,14.4542,1,1,0,0
86,978,3,27.0,0,0,7.8792,0,0,1,0
87,979,3,18.0,0,0,8.05,0,0,0,1
88,980,3,27.0,0,0,7.75,0,0,1,0
89,981,2,2.0,1,1,23.0,1,0,0,1
90,982,3,22.0,1,0,13.9,0,0,0,1
91,983,3,27.0,0,0,7.775,1,0,0,1
92,984,1,27.0,1,2,52.0,0,0,0,1
93,985,3,27.0,0,0,8.05,1,0,0,1
94,986,1,25.0,0,0,26.0,1,1,0,0
95,987,3,25.0,0,0,7.7958,1,0,0,1
96,988,1,76.0,1,0,78.85,0,0,0,1
97,989,3,29.0,0,0,7.925,1,0,0,1
98,990,3,20.0,0,0,7.8542,0,0,0,1
99,991,3,33.0,0,0,8.05,1,0,0,1
100,992,1,43.0,1,0,55.4417,0,1,0,0
101,993,2,27.0,1,0,26.0,1,0,0,1
102,994,3,27.0,0,0,7.75,1,0,1,0
103,995,3,26.0,0,0,7.775,1,0,0,1
104,996,3,16.0,1,1,8.5167,0,1,0,0
105,997,3,28.0,0,0,22.525,1,0,0,1
106,998,3,21.0,0,0,7.8208,1,0,1,0
107,999,3,27.0,0,0,7.75,1,0,1,0
108,1000,3,27.0,0,0,8.7125,1,0,0,1
109,1001,2,18.5,0,0,13.0,1,0,0,1
110,1002,2,41.0,0,0,15.0458,1,1,0,0
111,1003,3,27.0,0,0,7.7792,0,0,1,0
112,1004,1,36.0,0,0,31.6792,0,1,0,0
113,1005,3,18.5,0,0,7.2833,0,0,1,0
114,1006,1,63.0,1,0,221.7792,0,0,0,1
115,1007,3,18.0,1,0,14.4542,1,1,0,0
116,1008,3,27.0,0,0,6.4375,1,1,0,0
117,1009,3,1.0,1,1,16.7,0,0,0,1
118,1010,1,36.0,0,0,75.2417,1,1,0,0
119,1011,2,29.0,1,0,26.0,0,0,0,1
120,1012,2,12.0,0,0,15.75,0,0,0,1
121,1013,3,27.0,1,0,7.75,1,0,1,0
122,1014,1,35.0,1,0,57.75,0,1,0,0
123,1015,3,28.0,0,0,7.25,1,0,0,1
124,1016,3,27.0,0,0,7.75,1,0,1,0
125,1017,3,17.0,0,1,16.1,0,0,0,1
126,1018,3,22.0,0,0,7.7958,1,0,0,1
127,1019,3,27.0,2,0,23.25,0,0,1,0
128,1020,2,42.0,0,0,13.0,1,0,0,1
129,1021,3,24.0,0,0,8.05,1,0,0,1
130,1022,3,32.0,0,0,8.05,1,0,0,1
131,1023,1,53.0,0,0,28.5,1,1,0,0
132,1024,3,27.0,0,4,25.4667,0,0,0,1
133,1025,3,27.0,1,0,6.4375,1,1,0,0
134,1026,3,43.0,0,0,7.8958,1,0,0,1
135,1027,3,24.0,0,0,7.8542,1,0,0,1
136,1028,3,26.5,0,0,7.225,1,1,0,0
137,1029,2,26.0,0,0,13.0,1,0,0,1
138,1030,3,23.0,0,0,8.05,0,0,0,1
139,1031,3,40.0,1,6,46.9,1,0,0,1
140,1032,3,10.0,5,2,46.9,0,0,0,1
141,1033,1,33.0,0,0,151.55,0,0,0,1
142,1034,1,61.0,1,3,262.375,1,1,0,0
143,1035,2,28.0,0,0,26.0,1,0,0,1
144,1036,1,42.0,0,0,26.55,1,0,0,1
145,1037,3,31.0,3,0,18.0,1,0,0,1
146,1038,1,27.0,0,0,51.8625,1,0,0,1
147,1039,3,22.0,0,0,8.05,1,0,0,1
148,1040,1,27.0,0,0,26.55,1,0,0,1
149,1041,2,30.0,1,1,26.0,1,0,0,1
150,1042,1,23.0,0,1,83.1583,0,1,0,0
151,1043,3,27.0,0,0,7.8958,1,1,0,0
152,1044,3,60.5,0,0,14.4542,1,0,0,1
153,1045,3,36.0,0,2,12.1833,0,0,0,1
154,1046,3,13.0,4,2,31.3875,1,0,0,1
155,1047,3,24.0,0,0,7.55,1,0,0,1
156,1048,1,29.0,0,0,221.7792,0,0,0,1
157,1049,3,23.0,0,0,7.8542,0,0,0,1
158,1050,1,42.0,0,0,26.55,1,0,0,1
159,1051,3,26.0,0,2,13.775,0,0,0,1
160,1052,3,27.0,0,0,7.7333,0,0,1,0
161,1053,3,7.0,1,1,15.2458,1,1,0,0
162,1054,2,26.0,0,0,13.5,0,0,0,1
163,1055,3,27.0,0,0,7.0,1,0,0,1
164,1056,2,41.0,0,0,13.0,1,0,0,1
165,1057,3,26.0,1,1,22.025,0,0,0,1
166,1058,1,48.0,0,0,50.4958,1,1,0,0
167,1059,3,18.0,2,2,34.375,1,0,0,1
168,1060,1,27.0,0,0,27.7208,0,1,0,0
169,1061,3,22.0,0,0,8.9625,0,0,0,1
170,1062,3,27.0,0,0,7.55,1,0,0,1
171,1063,3,27.0,0,0,7.225,1,1,0,0
