,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,MaleCheck,Sozinho,Familiares,Embarked
0,1,0,3,-0.46153846153846156,1,0,-0.3120106021758714,1,0,1,0
1,2,1,1,0.7692307692307693,1,0,2.4612422909015312,0,0,1,1
2,3,1,3,-0.15384615384615385,0,0,-0.2827766613540295,0,1,0,0
3,4,1,1,0.5384615384615384,1,0,1.6737318966114614,0,0,1,0
4,5,0,3,0.5384615384615384,0,0,-0.277362968609244,1,1,0,0
5,6,0,3,0.0,0,0,-0.25967968262767654,1,1,0,2
6,7,0,1,2.0,0,0,1.6201363384380845,1,1,0,0
7,8,0,3,-2.0,3,1,0.2867438153974083,1,0,4,0
8,9,1,3,-0.07692307692307693,0,2,-0.14382665788926616,0,0,2,0
9,10,1,2,-1.0769230769230769,1,0,0.6763477929457417,0,0,1,1
10,11,1,3,-1.8461538461538463,1,1,0.09726456932991473,0,0,2,0
11,12,1,1,2.3076923076923075,0,0,0.5238635576190146,0,1,0,0
12,13,0,3,-0.6153846153846154,0,0,-0.277362968609244,1,1,0,0
13,14,0,3,0.8461538461538461,1,5,0.7285011433719076,1,0,6,0
14,15,0,3,-1.0769230769230769,0,0,-0.2858429769246761,0,1,0,0
15,16,1,2,2.076923076923077,0,0,0.06694788995911578,0,1,0,0
16,17,0,3,-2.0,4,1,0.6353856281615965,1,0,5,2
17,18,1,2,0.0,0,0,-0.06298073591573695,1,1,0,0
18,19,0,3,0.23076923076923078,1,0,0.15356697387568427,0,0,1,0
19,20,1,3,0.0,0,0,-0.31309334072482853,0,1,0,1
20,21,0,2,0.5384615384615384,0,0,0.5000433095419583,1,1,0,0
21,22,1,2,0.46153846153846156,0,0,-0.06298073591573695,1,1,0,0
22,23,1,3,-1.0,0,0,-0.27826380708197634,0,1,0,2
23,24,1,1,0.0,0,0,0.9114839581456586,1,1,0,0
24,25,0,3,-1.5384615384615385,3,1,0.2867438153974083,0,0,4,0
25,26,1,3,0.7692307692307693,1,5,0.7333734668422146,0,0,6,0
26,27,0,3,0.0,0,0,-0.31309334072482853,1,1,0,1
27,28,0,1,-0.6923076923076923,3,2,10.764404753655324,1,0,5,0
28,29,1,3,0.0,0,0,-0.28476023837571895,0,1,0,2
29,30,0,3,0.0,0,0,-0.2840412999792114,1,1,0,0
30,31,0,1,0.9230769230769231,0,0,0.5745703693437738,1,1,0,1
31,32,1,1,0.0,1,0,5.719743953987942,0,0,1,1
32,33,1,3,0.0,0,0,-0.29035583119672925,0,1,0,2
33,34,0,2,2.923076923076923,0,0,-0.1712545908114476,1,1,0,0
34,35,0,1,0.0,1,0,2.9327749289723513,1,0,1,1
35,36,0,1,1.0769230769230769,1,0,1.6260914004573488,1,0,1,0
36,37,1,3,0.0,0,0,-0.3129114406486037,1,1,0,1
37,38,0,3,-0.5384615384615384,0,0,-0.277362968609244,1,1,0,0
38,39,0,3,-0.7692307692307693,2,0,0.15356697387568427,0,0,2,0
39,40,1,3,-1.0769230769230769,1,0,-0.13913190354098817,0,0,1,1
40,41,0,3,0.9230769230769231,1,0,-0.21564687131868895,0,0,1,0
41,42,0,2,-0.07692307692307693,1,0,0.283495599750537,0,0,1,0
42,43,0,3,0.0,0,0,-0.2840412999792114,1,1,0,1
43,44,1,2,-1.9230769230769231,1,2,1.1747713256184602,0,0,3,1
44,45,1,3,-0.6923076923076923,0,0,-0.28476023837571895,0,1,0,2
45,46,0,3,0.0,0,0,-0.277362968609244,1,1,0,0
46,47,0,3,0.0,1,0,0.04529311897997366,1,0,1,2
47,48,1,3,0.0,0,0,-0.29035583119672925,0,1,0,2
48,49,0,3,0.0,2,0,0.31291144064860377,1,0,2,1
49,50,0,3,-0.7692307692307693,1,0,0.14490506548402746,0,0,1,0
50,51,0,3,-1.6153846153846154,4,1,1.092842665095974,1,0,5,0
51,52,0,3,-0.5384615384615384,0,0,-0.28819035409881505,1,1,0,0
52,53,1,1,1.6153846153846154,1,0,2.6971017254521517,0,0,1,1
53,54,1,2,0.07692307692307693,1,0,0.5000433095419583,0,0,1,0
54,55,0,1,2.8461538461538463,0,1,2.058285981567459,1,0,1,1
55,56,1,1,0.0,0,0,0.9114839581456586,1,1,0,0
56,57,1,2,-0.5384615384615384,0,0,-0.1712545908114476,0,1,0,0
57,58,0,3,0.038461538461538464,0,0,-0.3129114406486037,1,1,0,1
58,59,1,2,-1.7692307692307692,1,2,0.5758350079689557,0,0,3,0
59,60,0,3,-1.3076923076923077,5,2,1.405212736470099,1,0,7,0
60,61,0,3,-0.46153846153846156,0,0,-0.3129114406486037,1,1,0,1
61,62,1,1,0.7692307692307693,0,0,2.8387585752893076,0,1,0,0
62,63,0,1,1.3076923076923077,1,0,2.9892592335943453,1,0,1,0
63,64,0,3,-1.8461538461538463,3,2,0.5823314392626983,1,0,5,0
