PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
892,3,male,34.5,0,0,7.8292,Q,0
893,3,female,47.0,1,0,7.0,S,0
894,2,male,62.0,0,0,9.6875,Q,0
895,3,male,27.0,0,0,8.6625,S,0
896,3,female,22.0,1,1,12.2875,S,0
897,3,male,14.0,0,0,9.225,S,0
898,3,female,30.0,0,0,7.6292,Q,0
899,2,male,26.0,1,1,29.0,S,0
900,3,female,18.0,0,0,7.2292,C,0
901,3,male,21.0,2,0,24.15,S,0
902,3,male,27.0,0,0,7.8958,S,0
903,1,male,46.0,0,0,26.0,S,0
904,1,female,23.0,1,0,82.2667,S,1
905,2,male,63.0,1,0,26.0,S,0
906,1,female,47.0,1,0,61.175,S,0
907,2,female,24.0,1,0,27.7208,C,0
908,2,male,35.0,0,0,12.35,Q,0
909,3,male,21.0,0,0,7.225,C,0
910,3,female,27.0,1,0,7.925,S,0
911,3,female,45.0,0,0,7.225,C,0
912,1,male,55.0,1,0,59.4,C,0
913,3,male,9.0,0,1,3.1708,S,0
914,1,female,27.0,0,0,31.6833,S,1
915,1,male,21.0,0,1,61.3792,C,1
916,1,female,48.0,1,3,262.375,C,1
917,3,male,50.0,1,0,14.5,S,0
918,1,female,22.0,0,1,61.9792,C,1
919,3,male,22.5,0,0,7.225,C,0
920,1,male,41.0,0,0,30.5,S,1
921,3,male,27.0,2,0,21.6792,C,0
922,2,male,50.0,1,0,26.0,S,0
923,2,male,24.0,2,0,31.5,S,0
924,3,female,33.0,1,2,20.575,S,0
925,3,female,27.0,1,2,23.45,S,0
926,1,male,30.0,1,0,57.75,C,1
927,3,male,18.5,0,0,7.2292,C,0
928,3,female,27.0,0,0,8.05,S,0
929,3,female,21.0,0,0,8.6625,S,0
930,3,male,25.0,0,0,9.5,S,0
931,3,male,27.0,0,0,56.4958,S,0
932,3,male,39.0,0,1,13.4167,C,0
933,1,male,27.0,0,0,26.55,S,1
934,3,male,41.0,0,0,7.85,S,0
935,2,female,30.0,0,0,13.0,S,0
936,1,female,45.0,1,0,52.5542,S,0
937,3,male,25.0,0,0,7.925,S,0
938,1,male,45.0,0,0,29.7,C,1
939,3,male,27.0,0,0,7.75,Q,0
